get,class,nThreads,totalTime
0,class java.util.concurrent.ConcurrentHashMap,2,158
0,class java.util.concurrent.ConcurrentHashMap,2,151
0,class java.util.concurrent.ConcurrentHashMap,2,153
0,class java.util.concurrent.ConcurrentHashMap,2,136
0,class java.util.concurrent.ConcurrentHashMap,2,150
0,class java.util.concurrent.ConcurrentHashMap,2,148
0,class java.util.concurrent.ConcurrentHashMap,2,151
0,class java.util.concurrent.ConcurrentHashMap,2,149
0,class java.util.concurrent.ConcurrentHashMap,2,151
0,class java.util.concurrent.ConcurrentHashMap,2,142
0,class java.util.concurrent.ConcurrentHashMap,2,151
0,class java.util.concurrent.ConcurrentHashMap,2,157
0,class java.util.concurrent.ConcurrentHashMap,4,142
0,class java.util.concurrent.ConcurrentHashMap,4,146
0,class java.util.concurrent.ConcurrentHashMap,4,139
0,class java.util.concurrent.ConcurrentHashMap,4,140
0,class java.util.concurrent.ConcurrentHashMap,4,140
0,class java.util.concurrent.ConcurrentHashMap,4,140
0,class java.util.concurrent.ConcurrentHashMap,4,139
0,class java.util.concurrent.ConcurrentHashMap,4,178
0,class java.util.concurrent.ConcurrentHashMap,4,139
0,class java.util.concurrent.ConcurrentHashMap,4,140
0,class java.util.concurrent.ConcurrentHashMap,4,138
0,class java.util.concurrent.ConcurrentHashMap,4,129
0,class java.util.concurrent.ConcurrentHashMap,4,133
0,class java.util.concurrent.ConcurrentHashMap,4,134
0,class java.util.concurrent.ConcurrentHashMap,4,136
0,class java.util.concurrent.ConcurrentHashMap,4,139
0,class java.util.concurrent.ConcurrentHashMap,4,139
0,class java.util.concurrent.ConcurrentHashMap,4,140
0,class java.util.concurrent.ConcurrentHashMap,4,139
0,class java.util.concurrent.ConcurrentHashMap,4,140
0,class java.util.concurrent.ConcurrentHashMap,4,137
0,class java.util.concurrent.ConcurrentHashMap,4,140
0,class java.util.concurrent.ConcurrentHashMap,4,141
0,class java.util.concurrent.ConcurrentHashMap,4,141
0,class java.util.concurrent.ConcurrentHashMap,4,138
0,class java.util.concurrent.ConcurrentHashMap,4,141
0,class java.util.concurrent.ConcurrentHashMap,4,135
0,class java.util.concurrent.ConcurrentHashMap,4,139
0,class java.util.concurrent.ConcurrentHashMap,4,135
0,class java.util.concurrent.ConcurrentHashMap,4,138
0,class java.util.concurrent.ConcurrentHashMap,4,137
0,class java.util.concurrent.ConcurrentHashMap,4,141
0,class java.util.concurrent.ConcurrentHashMap,4,174
0,class java.util.concurrent.ConcurrentHashMap,4,144
0,class java.util.concurrent.ConcurrentHashMap,4,139
0,class java.util.concurrent.ConcurrentHashMap,4,143
0,class java.util.concurrent.ConcurrentHashMap,4,145
0,class java.util.concurrent.ConcurrentHashMap,4,171
0,class java.util.concurrent.ConcurrentHashMap,4,145
0,class java.util.concurrent.ConcurrentHashMap,4,135
0,class java.util.concurrent.ConcurrentHashMap,4,134
0,class java.util.concurrent.ConcurrentHashMap,4,141
0,class java.util.concurrent.ConcurrentHashMap,4,143
0,class java.util.concurrent.ConcurrentHashMap,4,145
0,class java.util.concurrent.ConcurrentHashMap,4,142
0,class java.util.concurrent.ConcurrentHashMap,4,142
0,class java.util.concurrent.ConcurrentHashMap,4,141
0,class java.util.concurrent.ConcurrentHashMap,4,140
0,class java.util.concurrent.ConcurrentHashMap,4,142
0,class java.util.concurrent.ConcurrentHashMap,4,145
0,class java.util.concurrent.ConcurrentHashMap,8,141
0,class java.util.concurrent.ConcurrentHashMap,8,143
0,class java.util.concurrent.ConcurrentHashMap,8,143
0,class java.util.concurrent.ConcurrentHashMap,8,135
0,class java.util.concurrent.ConcurrentHashMap,8,138
0,class java.util.concurrent.ConcurrentHashMap,8,141
0,class java.util.concurrent.ConcurrentHashMap,8,142
0,class java.util.concurrent.ConcurrentHashMap,8,143
0,class java.util.concurrent.ConcurrentHashMap,8,149
0,class java.util.concurrent.ConcurrentHashMap,8,142
0,class java.util.concurrent.ConcurrentHashMap,8,140
0,class java.util.concurrent.ConcurrentHashMap,8,139
0,class java.util.concurrent.ConcurrentHashMap,8,141
0,class java.util.concurrent.ConcurrentHashMap,8,171
0,class java.util.concurrent.ConcurrentHashMap,8,143
0,class java.util.concurrent.ConcurrentHashMap,8,142
0,class java.util.concurrent.ConcurrentHashMap,8,163
0,class java.util.concurrent.ConcurrentHashMap,8,162
0,class java.util.concurrent.ConcurrentHashMap,8,135
0,class java.util.concurrent.ConcurrentHashMap,8,136
0,class java.util.concurrent.ConcurrentHashMap,8,137
0,class java.util.concurrent.ConcurrentHashMap,8,139
0,class java.util.concurrent.ConcurrentHashMap,8,142
0,class java.util.concurrent.ConcurrentHashMap,8,130
0,class java.util.concurrent.ConcurrentHashMap,8,133
0,class java.util.concurrent.ConcurrentHashMap,8,133
0,class java.util.concurrent.ConcurrentHashMap,8,135
0,class java.util.concurrent.ConcurrentHashMap,8,144
0,class java.util.concurrent.ConcurrentHashMap,8,141
0,class java.util.concurrent.ConcurrentHashMap,8,138
0,class java.util.concurrent.ConcurrentHashMap,8,137
0,class java.util.concurrent.ConcurrentHashMap,8,130
0,class java.util.concurrent.ConcurrentHashMap,8,134
0,class java.util.concurrent.ConcurrentHashMap,8,135
0,class java.util.concurrent.ConcurrentHashMap,8,140
0,class java.util.concurrent.ConcurrentHashMap,8,144
0,class java.util.concurrent.ConcurrentHashMap,8,136
0,class java.util.concurrent.ConcurrentHashMap,8,139
0,class java.util.concurrent.ConcurrentHashMap,8,140
0,class java.util.concurrent.ConcurrentHashMap,8,142
0,class java.util.concurrent.ConcurrentHashMap,8,131
0,class java.util.concurrent.ConcurrentHashMap,8,137
0,class java.util.concurrent.ConcurrentHashMap,8,137
0,class java.util.concurrent.ConcurrentHashMap,8,177
0,class java.util.concurrent.ConcurrentHashMap,8,132
0,class java.util.concurrent.ConcurrentHashMap,8,140
0,class java.util.concurrent.ConcurrentHashMap,8,146
0,class java.util.concurrent.ConcurrentHashMap,8,130
0,class java.util.concurrent.ConcurrentHashMap,8,140
0,class java.util.concurrent.ConcurrentHashMap,8,137
0,class java.util.concurrent.ConcurrentHashMap,16,141
0,class java.util.concurrent.ConcurrentHashMap,16,135
0,class java.util.concurrent.ConcurrentHashMap,16,147
0,class java.util.concurrent.ConcurrentHashMap,16,143
0,class java.util.concurrent.ConcurrentHashMap,16,129
0,class java.util.concurrent.ConcurrentHashMap,16,139
0,class java.util.concurrent.ConcurrentHashMap,16,140
0,class java.util.concurrent.ConcurrentHashMap,16,143
0,class java.util.concurrent.ConcurrentHashMap,16,142
0,class java.util.concurrent.ConcurrentHashMap,16,128
0,class java.util.concurrent.ConcurrentHashMap,16,130
0,class java.util.concurrent.ConcurrentHashMap,16,136
0,class java.util.concurrent.ConcurrentHashMap,16,141
0,class java.util.concurrent.ConcurrentHashMap,16,139
0,class java.util.concurrent.ConcurrentHashMap,16,144
0,class java.util.concurrent.ConcurrentHashMap,16,173
0,class java.util.concurrent.ConcurrentHashMap,16,143
0,class java.util.concurrent.ConcurrentHashMap,16,145
0,class java.util.concurrent.ConcurrentHashMap,16,140
0,class java.util.concurrent.ConcurrentHashMap,16,141
0,class java.util.concurrent.ConcurrentHashMap,16,139
0,class java.util.concurrent.ConcurrentHashMap,16,145
0,class java.util.concurrent.ConcurrentHashMap,16,140
0,class java.util.concurrent.ConcurrentHashMap,16,142
0,class java.util.concurrent.ConcurrentHashMap,16,142
0,class java.util.concurrent.ConcurrentHashMap,16,140
0,class java.util.concurrent.ConcurrentHashMap,16,140
0,class java.util.concurrent.ConcurrentHashMap,16,138
0,class java.util.concurrent.ConcurrentHashMap,16,144
0,class java.util.concurrent.ConcurrentHashMap,16,141
0,class java.util.concurrent.ConcurrentHashMap,16,140
0,class java.util.concurrent.ConcurrentHashMap,16,128
0,class java.util.concurrent.ConcurrentHashMap,16,139
0,class java.util.concurrent.ConcurrentHashMap,16,143
0,class java.util.concurrent.ConcurrentHashMap,16,141
0,class java.util.concurrent.ConcurrentHashMap,16,142
0,class java.util.concurrent.ConcurrentHashMap,16,169
0,class java.util.concurrent.ConcurrentHashMap,16,138
0,class java.util.concurrent.ConcurrentHashMap,16,142
0,class java.util.concurrent.ConcurrentHashMap,16,142
0,class java.util.concurrent.ConcurrentHashMap,16,142
0,class java.util.concurrent.ConcurrentHashMap,16,139
0,class java.util.concurrent.ConcurrentHashMap,16,146
0,class java.util.concurrent.ConcurrentHashMap,16,141
0,class java.util.concurrent.ConcurrentHashMap,16,144
0,class java.util.concurrent.ConcurrentHashMap,16,143
0,class java.util.concurrent.ConcurrentHashMap,16,140
0,class java.util.concurrent.ConcurrentHashMap,16,134
0,class java.util.concurrent.ConcurrentHashMap,16,140
0,class java.util.concurrent.ConcurrentHashMap,16,143
0,class java.util.concurrent.ConcurrentHashMap,32,141
0,class java.util.concurrent.ConcurrentHashMap,32,141
0,class java.util.concurrent.ConcurrentHashMap,32,141
0,class java.util.concurrent.ConcurrentHashMap,32,140
0,class java.util.concurrent.ConcurrentHashMap,32,169
0,class java.util.concurrent.ConcurrentHashMap,32,132
0,class java.util.concurrent.ConcurrentHashMap,32,135
0,class java.util.concurrent.ConcurrentHashMap,32,141
0,class java.util.concurrent.ConcurrentHashMap,32,158
0,class java.util.concurrent.ConcurrentHashMap,32,145
0,class java.util.concurrent.ConcurrentHashMap,32,139
0,class java.util.concurrent.ConcurrentHashMap,32,142
0,class java.util.concurrent.ConcurrentHashMap,32,144
0,class java.util.concurrent.ConcurrentHashMap,32,188
0,class java.util.concurrent.ConcurrentHashMap,32,153
0,class java.util.concurrent.ConcurrentHashMap,32,138
0,class java.util.concurrent.ConcurrentHashMap,32,138
0,class java.util.concurrent.ConcurrentHashMap,32,134
0,class java.util.concurrent.ConcurrentHashMap,32,139
0,class java.util.concurrent.ConcurrentHashMap,32,136
0,class java.util.concurrent.ConcurrentHashMap,32,140
0,class java.util.concurrent.ConcurrentHashMap,32,143
0,class java.util.concurrent.ConcurrentHashMap,32,141
0,class java.util.concurrent.ConcurrentHashMap,32,174
0,class java.util.concurrent.ConcurrentHashMap,32,140
0,class java.util.concurrent.ConcurrentHashMap,32,143
0,class java.util.concurrent.ConcurrentHashMap,32,139
0,class java.util.concurrent.ConcurrentHashMap,32,140
0,class java.util.concurrent.ConcurrentHashMap,32,141
0,class java.util.concurrent.ConcurrentHashMap,32,140
0,class java.util.concurrent.ConcurrentHashMap,32,175
0,class java.util.concurrent.ConcurrentHashMap,32,141
0,class java.util.concurrent.ConcurrentHashMap,32,141
0,class java.util.concurrent.ConcurrentHashMap,32,139
0,class java.util.concurrent.ConcurrentHashMap,32,141
0,class java.util.concurrent.ConcurrentHashMap,32,142
0,class java.util.concurrent.ConcurrentHashMap,32,141
0,class java.util.concurrent.ConcurrentHashMap,32,140
0,class java.util.concurrent.ConcurrentHashMap,32,178
0,class java.util.concurrent.ConcurrentHashMap,32,140
0,class java.util.concurrent.ConcurrentHashMap,32,131
0,class java.util.concurrent.ConcurrentHashMap,32,141
0,class java.util.concurrent.ConcurrentHashMap,32,140
0,class java.util.concurrent.ConcurrentHashMap,32,141
0,class java.util.concurrent.ConcurrentHashMap,32,139
0,class java.util.concurrent.ConcurrentHashMap,32,141
0,class java.util.concurrent.ConcurrentHashMap,32,173
0,class java.util.concurrent.ConcurrentHashMap,32,141
0,class java.util.concurrent.ConcurrentHashMap,32,141
0,class java.util.concurrent.ConcurrentHashMap,32,140
0,class java.util.concurrent.ConcurrentHashMap,64,138
0,class java.util.concurrent.ConcurrentHashMap,64,137
0,class java.util.concurrent.ConcurrentHashMap,64,173
0,class java.util.concurrent.ConcurrentHashMap,64,135
0,class java.util.concurrent.ConcurrentHashMap,64,140
0,class java.util.concurrent.ConcurrentHashMap,64,172
0,class java.util.concurrent.ConcurrentHashMap,64,136
0,class java.util.concurrent.ConcurrentHashMap,64,137
0,class java.util.concurrent.ConcurrentHashMap,64,140
0,class java.util.concurrent.ConcurrentHashMap,64,174
0,class java.util.concurrent.ConcurrentHashMap,64,137
0,class java.util.concurrent.ConcurrentHashMap,64,138
0,class java.util.concurrent.ConcurrentHashMap,64,138
0,class java.util.concurrent.ConcurrentHashMap,64,174
0,class java.util.concurrent.ConcurrentHashMap,64,139
0,class java.util.concurrent.ConcurrentHashMap,64,137
0,class java.util.concurrent.ConcurrentHashMap,64,171
0,class java.util.concurrent.ConcurrentHashMap,64,137
0,class java.util.concurrent.ConcurrentHashMap,64,140
0,class java.util.concurrent.ConcurrentHashMap,64,136
0,class java.util.concurrent.ConcurrentHashMap,64,175
0,class java.util.concurrent.ConcurrentHashMap,64,138
0,class java.util.concurrent.ConcurrentHashMap,64,139
0,class java.util.concurrent.ConcurrentHashMap,64,140
0,class java.util.concurrent.ConcurrentHashMap,64,175
0,class java.util.concurrent.ConcurrentHashMap,64,135
0,class java.util.concurrent.ConcurrentHashMap,64,139
0,class java.util.concurrent.ConcurrentHashMap,64,137
0,class java.util.concurrent.ConcurrentHashMap,64,174
0,class java.util.concurrent.ConcurrentHashMap,64,138
0,class java.util.concurrent.ConcurrentHashMap,64,139
0,class java.util.concurrent.ConcurrentHashMap,64,136
0,class java.util.concurrent.ConcurrentHashMap,64,172
0,class java.util.concurrent.ConcurrentHashMap,64,139
0,class java.util.concurrent.ConcurrentHashMap,64,140
0,class java.util.concurrent.ConcurrentHashMap,64,170
0,class java.util.concurrent.ConcurrentHashMap,64,140
0,class java.util.concurrent.ConcurrentHashMap,64,135
0,class java.util.concurrent.ConcurrentHashMap,64,170
0,class java.util.concurrent.ConcurrentHashMap,64,138
0,class java.util.concurrent.ConcurrentHashMap,64,139
0,class java.util.concurrent.ConcurrentHashMap,64,172
0,class java.util.concurrent.ConcurrentHashMap,64,138
0,class java.util.concurrent.ConcurrentHashMap,64,139
0,class java.util.concurrent.ConcurrentHashMap,64,136
0,class java.util.concurrent.ConcurrentHashMap,64,168
0,class java.util.concurrent.ConcurrentHashMap,64,139
0,class java.util.concurrent.ConcurrentHashMap,64,139
0,class java.util.concurrent.ConcurrentHashMap,64,171
0,class java.util.concurrent.ConcurrentHashMap,64,137
0,class java.util.concurrent.ConcurrentHashMap,128,176
0,class java.util.concurrent.ConcurrentHashMap,128,135
0,class java.util.concurrent.ConcurrentHashMap,128,175
0,class java.util.concurrent.ConcurrentHashMap,128,174
0,class java.util.concurrent.ConcurrentHashMap,128,144
0,class java.util.concurrent.ConcurrentHashMap,128,174
0,class java.util.concurrent.ConcurrentHashMap,128,170
0,class java.util.concurrent.ConcurrentHashMap,128,133
0,class java.util.concurrent.ConcurrentHashMap,128,171
0,class java.util.concurrent.ConcurrentHashMap,128,173
0,class java.util.concurrent.ConcurrentHashMap,128,171
0,class java.util.concurrent.ConcurrentHashMap,128,136
0,class java.util.concurrent.ConcurrentHashMap,128,174
0,class java.util.concurrent.ConcurrentHashMap,128,178
0,class java.util.concurrent.ConcurrentHashMap,128,140
0,class java.util.concurrent.ConcurrentHashMap,128,171
0,class java.util.concurrent.ConcurrentHashMap,128,169
0,class java.util.concurrent.ConcurrentHashMap,128,137
0,class java.util.concurrent.ConcurrentHashMap,128,172
0,class java.util.concurrent.ConcurrentHashMap,128,180
0,class java.util.concurrent.ConcurrentHashMap,128,138
0,class java.util.concurrent.ConcurrentHashMap,128,171
0,class java.util.concurrent.ConcurrentHashMap,128,136
0,class java.util.concurrent.ConcurrentHashMap,128,139
0,class java.util.concurrent.ConcurrentHashMap,128,137
0,class java.util.concurrent.ConcurrentHashMap,128,139
0,class java.util.concurrent.ConcurrentHashMap,128,137
0,class java.util.concurrent.ConcurrentHashMap,128,173
0,class java.util.concurrent.ConcurrentHashMap,128,136
0,class java.util.concurrent.ConcurrentHashMap,128,136
0,class java.util.concurrent.ConcurrentHashMap,128,145
0,class java.util.concurrent.ConcurrentHashMap,128,136
0,class java.util.concurrent.ConcurrentHashMap,128,136
0,class java.util.concurrent.ConcurrentHashMap,128,170
0,class java.util.concurrent.ConcurrentHashMap,128,136
0,class java.util.concurrent.ConcurrentHashMap,128,139
0,class java.util.concurrent.ConcurrentHashMap,128,134
0,class java.util.concurrent.ConcurrentHashMap,128,141
0,class java.util.concurrent.ConcurrentHashMap,128,171
0,class java.util.concurrent.ConcurrentHashMap,128,139
0,class java.util.concurrent.ConcurrentHashMap,128,137
0,class java.util.concurrent.ConcurrentHashMap,128,139
0,class java.util.concurrent.ConcurrentHashMap,128,173
0,class java.util.concurrent.ConcurrentHashMap,128,138
0,class java.util.concurrent.ConcurrentHashMap,128,137
0,class java.util.concurrent.ConcurrentHashMap,128,172
0,class java.util.concurrent.ConcurrentHashMap,128,137
0,class java.util.concurrent.ConcurrentHashMap,128,169
0,class java.util.concurrent.ConcurrentHashMap,128,136
0,class java.util.concurrent.ConcurrentHashMap,128,138
0,class java.util.concurrent.ConcurrentHashMap,256,177
0,class java.util.concurrent.ConcurrentHashMap,256,174
0,class java.util.concurrent.ConcurrentHashMap,256,201
0,class java.util.concurrent.ConcurrentHashMap,256,172
0,class java.util.concurrent.ConcurrentHashMap,256,148
0,class java.util.concurrent.ConcurrentHashMap,256,137
0,class java.util.concurrent.ConcurrentHashMap,256,138
0,class java.util.concurrent.ConcurrentHashMap,256,137
0,class java.util.concurrent.ConcurrentHashMap,256,138
0,class java.util.concurrent.ConcurrentHashMap,256,174
0,class java.util.concurrent.ConcurrentHashMap,256,140
0,class java.util.concurrent.ConcurrentHashMap,256,138
0,class java.util.concurrent.ConcurrentHashMap,256,140
0,class java.util.concurrent.ConcurrentHashMap,256,137
0,class java.util.concurrent.ConcurrentHashMap,256,175
0,class java.util.concurrent.ConcurrentHashMap,256,135
0,class java.util.concurrent.ConcurrentHashMap,256,136
0,class java.util.concurrent.ConcurrentHashMap,256,134
0,class java.util.concurrent.ConcurrentHashMap,256,173
0,class java.util.concurrent.ConcurrentHashMap,256,138
0,class java.util.concurrent.ConcurrentHashMap,256,135
0,class java.util.concurrent.ConcurrentHashMap,256,172
0,class java.util.concurrent.ConcurrentHashMap,256,138
0,class java.util.concurrent.ConcurrentHashMap,256,171
0,class java.util.concurrent.ConcurrentHashMap,256,141
0,class java.util.concurrent.ConcurrentHashMap,256,178
0,class java.util.concurrent.ConcurrentHashMap,256,170
0,class java.util.concurrent.ConcurrentHashMap,256,169
0,class java.util.concurrent.ConcurrentHashMap,256,175
0,class java.util.concurrent.ConcurrentHashMap,256,178
0,class java.util.concurrent.ConcurrentHashMap,256,134
0,class java.util.concurrent.ConcurrentHashMap,256,135
0,class java.util.concurrent.ConcurrentHashMap,256,134
0,class java.util.concurrent.ConcurrentHashMap,256,139
0,class java.util.concurrent.ConcurrentHashMap,256,135
0,class java.util.concurrent.ConcurrentHashMap,256,142
0,class java.util.concurrent.ConcurrentHashMap,256,144
0,class java.util.concurrent.ConcurrentHashMap,256,172
0,class java.util.concurrent.ConcurrentHashMap,256,137
0,class java.util.concurrent.ConcurrentHashMap,256,140
0,class java.util.concurrent.ConcurrentHashMap,256,137
0,class java.util.concurrent.ConcurrentHashMap,256,146
0,class java.util.concurrent.ConcurrentHashMap,256,152
0,class java.util.concurrent.ConcurrentHashMap,256,139
0,class java.util.concurrent.ConcurrentHashMap,256,138
0,class java.util.concurrent.ConcurrentHashMap,256,180
0,class java.util.concurrent.ConcurrentHashMap,256,147
0,class java.util.concurrent.ConcurrentHashMap,256,141
0,class java.util.concurrent.ConcurrentHashMap,256,136
0,class java.util.concurrent.ConcurrentHashMap,256,140
0,class java.util.concurrent.ConcurrentHashMap,512,201
0,class java.util.concurrent.ConcurrentHashMap,512,145
0,class java.util.concurrent.ConcurrentHashMap,512,194
