get,class,nThreads,totalTime
0,class java.util.concurrent.CopyOnWriteArrayList,2,179
0,class java.util.concurrent.CopyOnWriteArrayList,2,186
0,class java.util.concurrent.CopyOnWriteArrayList,2,195
0,class java.util.concurrent.CopyOnWriteArrayList,2,212
0,class java.util.concurrent.CopyOnWriteArrayList,2,190
0,class java.util.concurrent.CopyOnWriteArrayList,2,190
0,class java.util.concurrent.CopyOnWriteArrayList,2,193
0,class java.util.concurrent.CopyOnWriteArrayList,2,195
0,class java.util.concurrent.CopyOnWriteArrayList,2,206
0,class java.util.concurrent.CopyOnWriteArrayList,2,196
0,class java.util.concurrent.CopyOnWriteArrayList,2,172
0,class java.util.concurrent.CopyOnWriteArrayList,2,176
0,class java.util.concurrent.CopyOnWriteArrayList,2,177
0,class java.util.concurrent.CopyOnWriteArrayList,2,178
0,class java.util.concurrent.CopyOnWriteArrayList,2,174
0,class java.util.concurrent.CopyOnWriteArrayList,2,183
0,class java.util.concurrent.CopyOnWriteArrayList,2,177
0,class java.util.concurrent.CopyOnWriteArrayList,2,196
0,class java.util.concurrent.CopyOnWriteArrayList,2,211
0,class java.util.concurrent.CopyOnWriteArrayList,2,178
0,class java.util.concurrent.CopyOnWriteArrayList,2,182
0,class java.util.concurrent.CopyOnWriteArrayList,2,192
0,class java.util.concurrent.CopyOnWriteArrayList,2,211
0,class java.util.concurrent.CopyOnWriteArrayList,2,189
0,class java.util.concurrent.CopyOnWriteArrayList,2,201
0,class java.util.concurrent.CopyOnWriteArrayList,2,195
0,class java.util.concurrent.CopyOnWriteArrayList,2,187
0,class java.util.concurrent.CopyOnWriteArrayList,2,187
0,class java.util.concurrent.CopyOnWriteArrayList,2,206
0,class java.util.concurrent.CopyOnWriteArrayList,2,208
0,class java.util.concurrent.CopyOnWriteArrayList,2,200
0,class java.util.concurrent.CopyOnWriteArrayList,2,183
0,class java.util.concurrent.CopyOnWriteArrayList,2,192
0,class java.util.concurrent.CopyOnWriteArrayList,2,198
0,class java.util.concurrent.CopyOnWriteArrayList,2,198
0,class java.util.concurrent.CopyOnWriteArrayList,2,190
0,class java.util.concurrent.CopyOnWriteArrayList,2,173
0,class java.util.concurrent.CopyOnWriteArrayList,2,184
0,class java.util.concurrent.CopyOnWriteArrayList,2,192
0,class java.util.concurrent.CopyOnWriteArrayList,2,190
0,class java.util.concurrent.CopyOnWriteArrayList,2,181
0,class java.util.concurrent.CopyOnWriteArrayList,4,204
0,class java.util.concurrent.CopyOnWriteArrayList,4,191
0,class java.util.concurrent.CopyOnWriteArrayList,4,184
0,class java.util.concurrent.CopyOnWriteArrayList,4,175
0,class java.util.concurrent.CopyOnWriteArrayList,4,191
0,class java.util.concurrent.CopyOnWriteArrayList,4,187
0,class java.util.concurrent.CopyOnWriteArrayList,4,188
0,class java.util.concurrent.CopyOnWriteArrayList,4,190
0,class java.util.concurrent.CopyOnWriteArrayList,4,240
0,class java.util.concurrent.CopyOnWriteArrayList,4,201
0,class java.util.concurrent.CopyOnWriteArrayList,4,202
0,class java.util.concurrent.CopyOnWriteArrayList,4,206
0,class java.util.concurrent.CopyOnWriteArrayList,4,195
0,class java.util.concurrent.CopyOnWriteArrayList,4,205
0,class java.util.concurrent.CopyOnWriteArrayList,4,199
0,class java.util.concurrent.CopyOnWriteArrayList,4,199
0,class java.util.concurrent.CopyOnWriteArrayList,4,207
0,class java.util.concurrent.CopyOnWriteArrayList,4,194
0,class java.util.concurrent.CopyOnWriteArrayList,4,195
0,class java.util.concurrent.CopyOnWriteArrayList,4,194
0,class java.util.concurrent.CopyOnWriteArrayList,4,190
0,class java.util.concurrent.CopyOnWriteArrayList,4,196
0,class java.util.concurrent.CopyOnWriteArrayList,4,192
0,class java.util.concurrent.CopyOnWriteArrayList,4,195
0,class java.util.concurrent.CopyOnWriteArrayList,4,194
0,class java.util.concurrent.CopyOnWriteArrayList,4,196
0,class java.util.concurrent.CopyOnWriteArrayList,4,207
0,class java.util.concurrent.CopyOnWriteArrayList,4,197
0,class java.util.concurrent.CopyOnWriteArrayList,4,180
0,class java.util.concurrent.CopyOnWriteArrayList,4,195
0,class java.util.concurrent.CopyOnWriteArrayList,4,207
0,class java.util.concurrent.CopyOnWriteArrayList,4,199
0,class java.util.concurrent.CopyOnWriteArrayList,4,192
0,class java.util.concurrent.CopyOnWriteArrayList,4,190
0,class java.util.concurrent.CopyOnWriteArrayList,4,207
0,class java.util.concurrent.CopyOnWriteArrayList,4,185
0,class java.util.concurrent.CopyOnWriteArrayList,4,184
0,class java.util.concurrent.CopyOnWriteArrayList,4,186
0,class java.util.concurrent.CopyOnWriteArrayList,4,184
0,class java.util.concurrent.CopyOnWriteArrayList,4,191
0,class java.util.concurrent.CopyOnWriteArrayList,4,191
0,class java.util.concurrent.CopyOnWriteArrayList,4,200
0,class java.util.concurrent.CopyOnWriteArrayList,4,199
0,class java.util.concurrent.CopyOnWriteArrayList,4,201
0,class java.util.concurrent.CopyOnWriteArrayList,4,209
0,class java.util.concurrent.CopyOnWriteArrayList,4,208
0,class java.util.concurrent.CopyOnWriteArrayList,4,202
0,class java.util.concurrent.CopyOnWriteArrayList,4,206
0,class java.util.concurrent.CopyOnWriteArrayList,4,206
0,class java.util.concurrent.CopyOnWriteArrayList,4,213
0,class java.util.concurrent.CopyOnWriteArrayList,8,193
0,class java.util.concurrent.CopyOnWriteArrayList,8,201
0,class java.util.concurrent.CopyOnWriteArrayList,8,201
0,class java.util.concurrent.CopyOnWriteArrayList,8,204
0,class java.util.concurrent.CopyOnWriteArrayList,8,202
0,class java.util.concurrent.CopyOnWriteArrayList,8,201
0,class java.util.concurrent.CopyOnWriteArrayList,8,202
0,class java.util.concurrent.CopyOnWriteArrayList,8,200
0,class java.util.concurrent.CopyOnWriteArrayList,8,191
0,class java.util.concurrent.CopyOnWriteArrayList,8,204
0,class java.util.concurrent.CopyOnWriteArrayList,8,194
0,class java.util.concurrent.CopyOnWriteArrayList,8,204
0,class java.util.concurrent.CopyOnWriteArrayList,8,199
0,class java.util.concurrent.CopyOnWriteArrayList,8,195
0,class java.util.concurrent.CopyOnWriteArrayList,8,193
0,class java.util.concurrent.CopyOnWriteArrayList,8,198
0,class java.util.concurrent.CopyOnWriteArrayList,8,201
0,class java.util.concurrent.CopyOnWriteArrayList,8,200
0,class java.util.concurrent.CopyOnWriteArrayList,8,194
0,class java.util.concurrent.CopyOnWriteArrayList,8,199
0,class java.util.concurrent.CopyOnWriteArrayList,8,193
0,class java.util.concurrent.CopyOnWriteArrayList,8,205
0,class java.util.concurrent.CopyOnWriteArrayList,8,200
0,class java.util.concurrent.CopyOnWriteArrayList,8,195
0,class java.util.concurrent.CopyOnWriteArrayList,8,199
0,class java.util.concurrent.CopyOnWriteArrayList,8,203
0,class java.util.concurrent.CopyOnWriteArrayList,8,196
0,class java.util.concurrent.CopyOnWriteArrayList,8,199
0,class java.util.concurrent.CopyOnWriteArrayList,8,204
0,class java.util.concurrent.CopyOnWriteArrayList,8,210
0,class java.util.concurrent.CopyOnWriteArrayList,8,201
0,class java.util.concurrent.CopyOnWriteArrayList,8,198
0,class java.util.concurrent.CopyOnWriteArrayList,8,198
0,class java.util.concurrent.CopyOnWriteArrayList,8,193
0,class java.util.concurrent.CopyOnWriteArrayList,8,201
0,class java.util.concurrent.CopyOnWriteArrayList,8,205
0,class java.util.concurrent.CopyOnWriteArrayList,8,199
0,class java.util.concurrent.CopyOnWriteArrayList,8,197
0,class java.util.concurrent.CopyOnWriteArrayList,8,198
0,class java.util.concurrent.CopyOnWriteArrayList,8,212
0,class java.util.concurrent.CopyOnWriteArrayList,8,213
0,class java.util.concurrent.CopyOnWriteArrayList,8,204
0,class java.util.concurrent.CopyOnWriteArrayList,8,199
0,class java.util.concurrent.CopyOnWriteArrayList,8,196
0,class java.util.concurrent.CopyOnWriteArrayList,8,194
0,class java.util.concurrent.CopyOnWriteArrayList,8,190
0,class java.util.concurrent.CopyOnWriteArrayList,8,211
0,class java.util.concurrent.CopyOnWriteArrayList,8,227
0,class java.util.concurrent.CopyOnWriteArrayList,8,214
